,edit_history_tweet_ids,id,text
0,['1601250050596044802'],1601250050596044802,@RescueMed @GiorgiaMeloni Mi permetto e vorrei capire: questo grazie è veramente rivolto ‘anche’ a voi ? Perché son dubbiosa
1,['1601209551272914944'],1601209551272914944,@GiorgiaMeloni https://t.co/gs3LY5qMhc
2,['1601209473032687616'],1601209473032687616,@GiorgiaMeloni 😂😂😂😂😂
3,['1600977512439648256'],1600977512439648256,"@GiorgiaMeloni Scusa ama, scrinsciotto per quando taglierai i fondi per i centri antiviolenza delle associazioni di volontariato Lgbti+ ❤ https://t.co/eYyLSDGUqc"
4,['1600820997879263233'],1600820997879263233,"@GiorgiaMeloni Concordo, il volontariato in Italia è veramente un enorme valore aggiunto"
5,['1600730997615890432'],1600730997615890432,@GiorgiaMeloni Bonjour
6,['1600692033613881345'],1600692033613881345,"@GiorgiaMeloni Buongiorno Presidente, ricorderà il Sig. Carlo Gilardi, il grande Cristiano benefattore rinchiuso in Rsa. Volevo ricordarle che il 4 dic.ha compiuto 92 anni e nonostante le tante parole spese, anche da tanti esponenti della politica, compreso lei, il povero Carlo resta in Rsa😓"
7,['1600590736378007553'],1600590736378007553,@GiorgiaMeloni 😂😂😂😂😂😂😂😂😂 https://t.co/jY9edaUrKn
8,['1600545941236305920'],1600545941236305920,@RescueMed @GiorgiaMeloni Chissà quanti punti vale al @Fanta_citorio
9,['1600533671349567491'],1600533671349567491,@GiorgiaMeloni Il blocco navale a quando? Bugiarda
10,['1600497462812332032'],1600497462812332032,@GiorgiaMeloni Sulle orme di tutti i suoi predecessori la Meloni attua la politica delle chiacchiere... Lo sport nazionale dei politicanti italiani. Che mai hanno lavorato ma solo sparato palle
11,['1600399859856551936'],1600399859856551936,"@PinoDeLuca3 @GiorgiaMeloni Allora siccome ci sono molti falsi invalidi togliamo anche la pensione ai veri invalidi? Non si tolgono i diritti acquisiti, per evitare che ci siano falsi invalidi e percettori del Rdc si devono fare serii controlli."
12,['1600399225807831041'],1600399225807831041,@GiorgiaMeloni ONG
13,['1600398996756779008'],1600398996756779008,@GiorgiaMeloni Finora con la legge su Terzo Settore sono state fatte morire centinaia di Associazioni fondate sul volontariato puro con regole capestro e pure poco chiare. Rimarranno solo i soliti noti che usufruiscono di contributi pubblici spropositati
14,['1600398784587931648'],1600398784587931648,"@GiorgiaMeloni Allora vale lo stesso per le ONG anche loro sono dei volontari che salvano vite umane nel mare, se non fosse per loro il mediterraneo sarebbe stato un cimitero, cioè cimitero mediterraneo e non più mar mediterraneo"
15,['1600341842704203776'],1600341842704203776,@GiorgiaMeloni @LucioMalan Bugiarda.
16,['1600309515705991168'],1600309515705991168,"@GiorgiaMeloni Ricorda che le parole lasciano il tempo che trovano, solo i fatti daranno loro valore e coerenza. Fino in fondo devi arrivare. Punto per punto, altrimenti sarai la più grande delusione e l'ennesimo fallimento."
17,['1600280252927787008'],1600280252927787008,"@GiorgiaMeloni Ma stai tessendo le lodi delle ONG #Meloni ???
MA ALLORA E' VERO CHE ANCHE TU SEI DIVENTATA COMUNISTAAAAHH!!!!!!!!!!!!"
18,['1600277195548594177'],1600277195548594177,"@GiorgiaMeloni Vero!
Evviva anche MSF, Emergency, UNHCR e tutte le ONG.

Ah, no?

#LaPresidentessa de #ilPeggior_GOVERNO_diSempre de #laPeggiore_DESTRA_diSempre 
#CheMerda"
19,['1600263413086572545'],1600263413086572545,@RescueMed @GiorgiaMeloni Siete dei grandi!
20,['1600250906661965825'],1600250906661965825,@GiorgiaMeloni Per chi mi ha chiesto il green pass ? L’impegnò sociale potete mettervelo in culo
21,['1600240260381700097'],1600240260381700097,@RescueMed @WhatAnEgo @GiorgiaMeloni chapeau
22,['1600207938026500096'],1600207938026500096,@RescueMed ❤
23,['1600204756063899648'],1600204756063899648,@RescueMed @GiorgiaMeloni ❤️
24,['1600200743113306113'],1600200743113306113,"@Ant__RI @RescueMed @GiorgiaMeloni Ha ragione, perdoni l'imprecisione dell'espressione: mi è stato raccontato direttamente da chi ha fatto."
25,['1600189588680499200'],1600189588680499200,"@GiorgiaMeloni Ringrazia le ONG allora, capra"
26,['1600179046607773700'],1600179046607773700,@GiorgiaMeloni #ONG ringraziano
27,['1600177043626508289'],1600177043626508289,@FinallyPagoo @RescueMed @GiorgiaMeloni O è esperienza diretta o è un racconto di seconda mano. Si decida 😊
