,edit_history_tweet_ids,id,text
0,['1601278050687012864'],1601278050687012864,"@GiorgiaMeloni Sono convinto della tua buona fede, ti seguo da sempre e ti ho votato, ma osserva meglio a chi date i 💰 e le armi.
https://t.co/K0OGH0zuRR"
1,['1601107298424066048'],1601107298424066048,"@GiorgiaMeloni The black flags that will support the Imam Al-Mahdi will come from Pakistan. In April 2015, Muhammad Qasim bin al-Karim saw Prophet Muhammad SAW in a dream explaining to him where the black flags would come from. Is Qasim the awaited Mahdi? https://t.co/tMCxZ0068X https://t.co/4Zj6fGyUOJ"
2,['1601071212264067072'],1601071212264067072,"@GiorgiaMeloni ""Bilateral relations"" is the key for 2023!

2023 is missing number in sequence that's ""1"".

You(US,UK,Nordic,China) cannot be single minded boss of world!

It's a zero sum 'Dynamics of Diplomacy'!

2 &amp; 3 tango! Bi &amp; multilateral!

@MLP_officiel @KatalinNovakMP @BalazsOrban_HU #X3"
3,['1600943418985046016'],1600943418985046016,@GiorgiaMeloni 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
4,['1600932558270697472'],1600932558270697472,@GiorgiaMeloni https://t.co/tcs15INIcM
5,['1600924362949169152'],1600924362949169152,@GiorgiaMeloni Abolishing Shirk and its practices is the only way to Allah SWT’s rehma. Prophet Muhammad SAW also warned us of Shirk and its forms 1400 years ago. Muhammad Qasim has seen this as a warning to the Muslim ummah in his dreams. https://t.co/VKmcyQLneK https://t.co/2NDS666PNt
6,['1600900123629797376'],1600900123629797376,@retusz @GiorgiaMeloni Dziękuję w imieniu Giorgii.
7,['1600895637897314308'],1600895637897314308,@GiorgiaMeloni Pozdrawiam.
8,['1600834349754388480'],1600834349754388480,"@GiorgiaMeloni sei solo chiacchiere... sbarchi aumentati, rdc rimasto.. totalmente inutile"
9,['1600793291460874242'],1600793291460874242,@GiorgiaMeloni https://t.co/E44AS5NtDE
10,['1600780974039519232'],1600780974039519232,@GiorgiaMeloni Ieri alla Scala poi a San Moritz e Capalbio.
11,['1600723793206562817'],1600723793206562817,@JanCrescenti @GiorgiaMeloni Sei già nell'angolino del mio cuore riservato ai disagiati😂😂😂😂
12,['1600718070225539072'],1600718070225539072,@GiorgiaMeloni Come mai le materie prime sono aumentate tutto un botto? Vuoi per favore incominciare a criticare le scelte che l'america ci impone e che purtroppo ci impoveriscono?
13,['1600699111124062208'],1600699111124062208,"@Alessan45820745 @GiorgiaMeloni Bravo,il tuo presidente intanto ti fa pagare un po di più la benzina........"
14,['1600668487328108545'],1600668487328108545,"@GiorgiaMeloni Jan 2019 - Many rulers have come and ruled Pakistan over time but circumstances in Pakistan have not improved. With Imran Khan people have also held great hope, but even then the situation of Pakistan will remain the same. https://t.co/8hG6r7jV72 https://t.co/eIu5KOquFS https://t.co/fzLBxevEg7 https://t.co/rHtHgfFfwC"
15,['1600662282639642624'],1600662282639642624,"@GiorgiaMeloni Islamic countries were captured by anti-Islamic forces, and Prophet Muhammad SAW instructed Qasim to share the message of the dreams to the Muslim leaders. Qasim’s dreams have warnings for the future, He will be the future Imam Al-Mahdi. https://t.co/ddW5VqKtrU https://t.co/tNmlIkl1uz"
16,['1600635084331163650'],1600635084331163650,"@GiorgiaMeloni Un sacco di pellet a 11,95 €. anziché 4,59.
Vai a cagare tu e la guerra a #Putin."
17,['1600625184251199488'],1600625184251199488,@GiorgiaMeloni Russia is a nuclear terrorist. They will threaten humanity unless we defeat them.
18,['1600593247776215060'],1600593247776215060,"@GiorgiaMeloni RICORDI MELONIANI😂😅😂
https://t.co/Cz8pQjPMcz https://t.co/FlSB06vckS"
19,['1600592934822416384'],1600592934822416384,"@JanCrescenti @EmarrMaria @GiorgiaMeloni Non sai nemmeno cosa vuol dire contestualizzare, perchè nella tua frase non ci azzecca niente."
20,['1600590648394059789'],1600590648394059789,@AlbertoMelis16 @GiorgiaMeloni https://t.co/huJsD8DJCy
21,['1600590548548653073'],1600590548548653073,@GiorgiaMeloni 😂😂😂😂😂😂😂😂😂 https://t.co/eDqLFqZIDM
22,['1600588376188534794'],1600588376188534794,@Giancarlo21470 @GiorgiaMeloni Ah dovrei argomentare con uno che non argomenta e mette le gif convinto di sfottere... ahahah coricati fascistello
