,edit_history_tweet_ids,id,text
0,['1601248060377792514'],1601248060377792514,"@rperrott56 @GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO Qui è venuto il momento di essere veramente italiani o l'Italia muore. È un periodo storico che richiede amore, passione e competenza. W l'Italia!"
1,['1601209731796041731'],1601209731796041731,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO 😂😂😂😂😂
2,['1601175279342616576'],1601175279342616576,"@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO The hashemi are a noble tribe and a good one. Iraq hasn't seen a happy day since faisal 2 was assassinated,  he was cousins and comrades with the father of King abdullah. I hope your countries relationship becomes a good one."
3,['1600943549872492544'],1600943549872492544,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
4,['1600943500563861504'],1600943500563861504,@GiorgiaMeloni @Palazzo_Chigi @RHCJO 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
5,['1600930806461267968'],1600930806461267968,@GiorgiaMeloni @Palazzo_Chigi @RHCJO https://t.co/w13dfdUMQv Russia sponsor terrorismo
6,['1600916603675107328'],1600916603675107328,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 100
7,['1600916586155896833'],1600916586155896833,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 99
8,['1600916569655316519'],1600916569655316519,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 98
9,['1600916548193234944'],1600916548193234944,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 97
10,['1600916532405862401'],1600916532405862401,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 96
11,['1600916511262007296'],1600916511262007296,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 95
12,['1600916497680912384'],1600916497680912384,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 94
13,['1600916483588362240'],1600916483588362240,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 93
14,['1600916469289603072'],1600916469289603072,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 92
15,['1600916454991618048'],1600916454991618048,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 91
16,['1600916440261226496'],1600916440261226496,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 90
17,['1600916423404130318'],1600916423404130318,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 89
18,['1600916389703077889'],1600916389703077889,@GiorgiaMeloni @KingAbdullahII @Palazzo_Chigi @RHCJO FEUR 88
