,edit_history_tweet_ids,id,text
0,['1601267321082781698'],1601267321082781698,"@Undo87918743 @BillisCia @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito Ma è fantastico.
Uno scrive una minchiata inventata e trova anche un soggetto che mette mi piace......
Che rovina di paese"
1,['1601219886763900930'],1601219886763900930,"@Undo87918743 @BillisCia @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito Eeeeeh, nientedimeno.
Ma una fonte di questa minchioneria la ha?
480k mila euro lordi o netti? Annuali, biennali, triennali?
Comunque dovrebbe trasferirsi in uno di quei paesi dove non ci sono le elezioni, così smetterebbe di spendere parte delle tasse per la politica."
2,['1601132650613264384'],1601132650613264384,"@ASpezzachini @BillisCia @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito A parte che il segretario generale guadagna 480000€ l’anno, ma questa è un’altra storia. Ci son ruoli statali per cui vale la pena pagare le tasse, ma non per i politici e per tutte quelle persone nascoste negli uffici attinenti alla politica. Non danno nessun valore aggiunto"
3,['1601055693469253632'],1601055693469253632,"@AngeloV_60 @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito la manutenzione e controllo. Invece se li pappando. Ad Ischia hanno dato 2 milioni di euro per l'emergenza, la signora Meloni ha regalato per Natale 2milioniduecento mila ai parlamentari, che poveri hanno un misero stipendio. Cosa che gli dà il diritto di pappare i nostri soldi."
4,['1601054260183314432'],1601054260183314432,@AngeloV_60 @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito La quantità di pioggia che è caduta non se la ricordano neanche i vecchi. Io sono insonne e mi ricordo che quella notte dalle 3 alle 8 ci fu una pioggia battente continua incredibile. Quello che posso dire è che sti merdosi di politici che noi votiamo potrebbero usare i soldi per
5,['1600943760984412160'],1600943760984412160,@GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
6,['1600943698912477184'],1600943698912477184,@GiorgiaMeloni 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
7,['1600923629151481856'],1600923629151481856,@fruitxy @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito E ce lo ricordiamo solo subito dopo l'evento per il resto del tempo chi se ne frega tanto è lontano! Una scuola che non insegna nulla di utile e ti dà il voto per cose che non ti serviranno mai. https://t.co/G8wf6DAu7S
8,['1600893213002588161'],1600893213002588161,"@AngeloV_60 @GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito Sciacalli. Ieri giorno di lutto per noi. Oggi ho visto al cimitero due fosse per due ragazzi morti erano di Ischia, ma abitavano a Casamicciola. Brividi. Per la strada ho visto i centenari muri a secco che qui chiamano parracine franati
Sono a secco per far defluire l'acqua."
9,['1600887479527034885'],1600887479527034885,@GiorgiaMeloni @vigilidelfuoco @ItalianNavy @Esercito Distinguerei i danni arrecati da un terremoto non prevedibile da un abuso edilizio ed una frana ben nota! E poi quante case sul Vesuvio che bellezza!!? https://t.co/7L5zYwJjZ4
