,edit_history_tweet_ids,id,text
0,['1601279903936040961'],1601279903936040961,@Josse34775797 @GiorgiaMeloni Andasse a lavorare la Meloni
1,['1601279761342697472'],1601279761342697472,"@GiorgiaMeloni Meloni vai a trovarti un serio lavoro,da oktre 20 anni ti mantengo con le mue tasse"
2,['1601279564566908929'],1601279564566908929,"@GiorgiaMeloni Signor presidente del consiglio , potrebbe spiegarci il perché del #bonus ai deputati per il rinnovo degli strumenti elettronici?
Crede realmente che chi guadagna 15mila euro al mese non possa permettersi uno @smartphone_ita ?

https://t.co/jayNxgMyg8"
3,['1601277330567331841'],1601277330567331841,@GiorgiaMeloni Anche a te Giorgia
4,['1601276912177147905'],1601276912177147905,"@GiorgiaMeloni Georgia,soy española y quiero una presidenta o presidente como tú."
5,['1601275981301370880'],1601275981301370880,@MarcoGr75710953 @GiorgiaMeloni Sembra una serranda 😄
6,['1601273830437048323'],1601273830437048323,"@GiorgiaMeloni Quando vivevo a Roma mi sembrava normale avere le sbarre alla finestra, adesso mi sembrano inconcepibili. Cosa ne pensate ?"
7,['1601270161800953859'],1601270161800953859,"@GiorgiaMeloni ..occhio Giorge', che quando si eccede con le ""palle"", l'accrocco non regge più..
#propagandalive https://t.co/CKVRJlU4dq"
8,['1601270109146066946'],1601270109146066946,"@GiorgiaMeloni ..occhio Giorge', che quando si eccede con le ""palle"", l'accrocco non regge più..
#propagandalive https://t.co/0E8tiCKQzq"
9,['1601268992957902848'],1601268992957902848,@GiorgiaMeloni Matteo sei forte fai così
10,['1601268453020938243'],1601268453020938243,"@GiorgiaMeloni Quest'anno festeggiano solo quelli che non dovevano entrare causa blocco navale. Meloni e soci: a mai più, io a gennaio me ne vado."
11,['1601267806925750272'],1601267806925750272,@GiorgiaMeloni Eh si … dare auguri religiosi con albero di tradizione Pagana 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
12,['1601267291970506753'],1601267291970506753,@Pasquino70 @GiorgiaMeloni Chi ha governato fino a ieri non ha comprato e usato materiale tecnologico per rispetto alle famiglie che non possono permetterselo immagino eh
13,['1601266956094832640'],1601266956094832640,@GiorgiaMeloni Fai pena
14,['1601266086804328450'],1601266086804328450,"@GiorgiaMeloni Auguri anche a lei presidente e
La tua bellissima  Genevera famiglia auguro tanta Salute Amore 
 Felicità speranza Pazienza 
 Grazie 🙏"
15,['1601265179375046657'],1601265179375046657,@GiorgiaMeloni Pensioni a 1000€ quando 😂😂😂
16,['1601264782002511872'],1601264782002511872,@GiorgiaMeloni Siete solo invidiosi.... Ma nn ci scassati la minchia.... Razza di capre... Voi le foto le pubblicate subito dopo?? Ma andate a fancul
17,['1601264203683090434'],1601264203683090434,@GiorgiaMeloni Fellicitta!Tenho orgulho de você.Você me inspira ser um Homem melhor.
18,['1601262424317120512'],1601262424317120512,@GiorgiaMeloni arà gioggia non eri presepista? #fatacitorio https://t.co/3ZLDhOjwQK
19,['1601262342674993152'],1601262342674993152,@GiorgiaMeloni Non festeggio le ricorrenze religiose. Sinceramente delle favole ambientate in medio Oriente non mi interessa nulla.
