,edit_history_tweet_ids,id,text
0,['1601278279998398464'],1601278279998398464,@GiorgiaMeloni @crocerossa X nn dimenticare nessuno 🙏
1,['1601277920433299456'],1601277920433299456,@GiorgiaMeloni @crocerossa Finalmente qualcuno che rende onore e merito alle donne e agli uomini in divisa. Grazie
2,['1601277457138843649'],1601277457138843649,"@GiorgiaMeloni @crocerossa onorevole presidente del consiglio dei ministri @GiorgiaMeloni  non avresti dovuto abbassare le #accise sulla #benzina ?
Mica faremo come la - scatoletta di tonno - dei grillini , vero ?

https://t.co/ChySnnWZgk"
3,['1601275287597350914'],1601275287597350914,@GiorgiaMeloni @crocerossa R.I.P. VITTIMA DI STATO
4,['1601270589280251904'],1601270589280251904,@GiorgiaMeloni @crocerossa Ha idea di quante persone possono morire con le armi che vuole inviare in Ucraina?
5,['1601268428811415552'],1601268428811415552,"@KVindsvalr @RosarioSorbell7 @GiorgiaMeloni @crocerossa Non ne ho bisogno, stia sereno."
6,['1601267422740492289'],1601267422740492289,"@Luca94003551 @RosarioSorbell7 @GiorgiaMeloni @crocerossa In italiano nulla, ma una ripassata non ti fa male. Educazione civica è meglio che la studi."
7,['1601262099367239680'],1601262099367239680,@GiorgiaMeloni @crocerossa Ma 29 anni dopo vanno di moda le bloggher viaggianti che si fanno rapire e ci tocca pure riscattarle.
8,['1601261875072671745'],1601261875072671745,@GiorgiaMeloni @crocerossa perchè non ci parli delle ong appena sbarcate?
9,['1601261168609603584'],1601261168609603584,"@ParfemR @GiorgiaMeloni @crocerossa Ma se ha fatto Dublino 2 , Ve lo devo dire in cinese ? 🤣"
10,['1601260816799764480'],1601260816799764480,"@GiorgiaMeloni @crocerossa Pensa a lavorare , bye bye blocco navale e ai polli che vi hanno creduto , vi sta bene https://t.co/25ozDcI5Te"
11,['1601259304568647680'],1601259304568647680,@GiorgiaMeloni @crocerossa R.i.p 🙏
12,['1601258458333859840'],1601258458333859840,"@GiorgiaMeloni @crocerossa Missioni di guerra, neanche il coraggio di chiamare le cose col loro nome."
13,['1601258143321030657'],1601258143321030657,@GiorgiaMeloni @crocerossa Onore ai caduti ❤Italia🇮🇹
14,['1601255055574769665'],1601255055574769665,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni parlaci dell'accordo TRUMP SANOFI...

https://t.co/6sbkMGmDd2

@NicolaPorro nel tuo sito FABIO DRAGONI scriveva che si può curare.

@robersperanza che fate...State a guardare per 5 anni che sterminino i NON VACCINATI 🟥 ? 

@LegaSalvini 🙊
https://t.co/IUxGv7AEJ7 https://t.co/RZaKdPRh0v"
15,['1601255014793883649'],1601255014793883649,@GiorgiaMeloni @crocerossa https://t.co/XR5JjquJB4
16,['1601253393204318213'],1601253393204318213,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni guarda queste 4 immagini pubblicate da uno dei 40 milioni di vaccinati ...

Aggiungi MARESCOTTI e tutti NON VACCINATI MORTI DA VACCINATI ...

PATTEGGIAMENTI tra persone TRUFFATE da chi li considera un VOTO CHE CAMMINA ...
VOI , @LegaSalvini e @ItalexitLodi https://t.co/qiQi8AdF0K"
17,['1601252620433522690'],1601252620433522690,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni riesci a immaginarti al governo in Russia ? 

@robersperanza AVETE PERMESSO alla DESTRA di diffondere il virus ...
In Brasile ci sono persone accusate e @FratellidItalia parla di COMMISSIONI DI INCHIESTA ? https://t.co/8J1JmGuCYJ"
18,['1601252606579396608'],1601252606579396608,@GiorgiaMeloni @crocerossa Onore a lei e a tutti i caduti. Ma siamo stufi di essere considerati eroi solo nelle ricorrenze o da morti: vorremmo che da vivi le nostre pensioni fossero adeguati all'inflazione! Basta ipocrisie!
19,['1601251058927689729'],1601251058927689729,@pand93064441 @GiorgiaMeloni @crocerossa Vedremo.
20,['1601250387893178369'],1601250387893178369,@IIIpatriota @GiorgiaMeloni @crocerossa Spiega illuminato sono tutto orecchi.
21,['1601249908362657792'],1601249908362657792,@GiorgiaMeloni @crocerossa Qua i SMM sono andati a spulciare Wikipedia
22,['1601246924237045760'],1601246924237045760,@ParfemR @GiorgiaMeloni @crocerossa Pensa quanto sei mona: prima voti una fascista e poi le dai della bugiarda
23,['1601246674638327809'],1601246674638327809,"@GiorgiaMeloni @crocerossa E lavorare? Ah, siete pronti"
24,['1601246009983913986'],1601246009983913986,"@gattomatto1956 @GiorgiaMeloni @crocerossa Quando si dice ""rispetto per le autorità"" 
Parlano dei giovani ma Lei a 66 anni ancora non ha imparato educazione e rispetto. 
Complimenti."
25,['1601245427063717888'],1601245427063717888,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni ....
Ti rendi conto che hai basato la campagna elettorale sull' ILLUSIONE e sulla DISCRIMINAZIONE? 

MANIFESTAZIONI NEGAZIONISTE, NO VAX , NO PASS .... PORTUALI DI TRIESTE e i 200 CONTAGI..

Sali al governo e .... RAVE PARTY? 
Se fossero tutti PORTUALI ? https://t.co/zO2VrdN9jD"
26,['1601244297919012865'],1601244297919012865,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni fammi capire ...

Campagna elettorale selettiva ? 

Anche loro erano ragazze incinta ....
Anche loro morti premature....

Sharon ? Nata precoce come la figlia della donna di TRIESTE.. Come la figlia di ADRIANA... https://t.co/owNiCuW42K"
27,['1601243817466032129'],1601243817466032129,@GiorgiaMeloni @crocerossa 👏🥲
28,['1601243483981115397'],1601243483981115397,"@GiorgiaMeloni @crocerossa Facciamo anche il tweet sulle violenze, abusi e torture commessi dall'esercito italiano in quei luoghi, in quella missione? 
Perché mentre Maria Cristina rendeva onore alla sua professione, qualcun altro gettava merda sulla propria. Che già di per sé non brilla.
Grazie."
29,['1601241994151755777'],1601241994151755777,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni ... Ma @LegaSalvini ha portato in senato anche lo specializzato in odontostomatologia e ortodonzia Stramezzi?

Anche al PREVENT SENIOR dicevano di curare ... https://t.co/w83X5TcrrP"
30,['1601241462406283264'],1601241462406283264,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni 
Parlaci del VACCINO DELLA SPUTNIK...

@matteosalvinimi fammi capire.
Prima ti volevi curare L'INFLUENZA con un FARMACO SPERIMENTALE che poi hanno correlato al SUICIDIO, MORTE CARDIACA IMPROVVISA e che poi hanno usato SENZA CHIEDERE IL CONSENSO.
Poi ... SPUTNIK? https://t.co/XM8r29FBxB"
31,['1601241002500845568'],1601241002500845568,@GiorgiaMeloni @crocerossa Cerchi di spostare l'attenzione? Ma cosa ci dici della benzina che avete aumentato? Delle bollette sempre più care?? Eh?
32,['1601240916055928834'],1601240916055928834,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni ....
Che si voleva curare @matteosalvinimi  ? 

@GiorgiaMeloni ... ORA TI MOSTRO IN RUSSIA.... https://t.co/lg1E1snEDE"
33,['1601240677429280768'],1601240677429280768,"@GiorgiaMeloni @crocerossa farmaco inutile contro l'aviaria pagato dai governi oltre tre miliardi

Ricerca indipendente ""smonta"" il Tamiflu:inefficace per influenza suina e dei polli"
34,['1601240240253177856'],1601240240253177856,"@GiorgiaMeloni @crocerossa @crocerossa anche EMIDDIO IOVANE usava come fonte @BelpietroTweet ... A 
Lei ha visto solo MONTAGNIER... 
PARAGONE gli ha dedicato una fiaccolata... Il BI-INFETTATO PARAGONE..

@GiorgiaMeloni dai .... Il 🟥 non vaccinato non lo vedi ?  

Emiddio Iovane non voleva fare da CAVIA.. https://t.co/qctPi5p3UN"
35,['1601239626085437443'],1601239626085437443,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni parlaci di LAURA LEONARDO...
@edmondocirielli che fate ...
Prima LA DESTRA, con @ItalexitLodi , sponsorizza il KIT COVID SPERIMENTALE...

@PuzzerStefano VACCINATO dice che si è curato , quando A TRIESTE una donna era ancora ricoverata... SUA MADRE MORTA DA CAVIA . https://t.co/E7ALqiTkgu"
36,['1601238850579595266'],1601238850579595266,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni TACHIPIRINA E VIGILE ATTESA ? Si sarebbe voluto curare, ma ha avuto una polmonite bilaterale post covid...

@GiorgiaMeloni NO PAURA DAY ? 

Secondo @MarianoAmici IL TAMPONATORE DI 🥝 è stato ucciso.

In Russia 4 mesi a casa ...IL REGIME. 
SIAMO 40 MILIONI...BASTA. https://t.co/OHqgd2KHJs"
37,['1601238341755682816'],1601238341755682816,@GiorgiaMeloni @crocerossa https://t.co/y8XPCANmqB
38,['1601237702909001728'],1601237702909001728,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni oltre 200 contagi ...
@matteosalvinimi che vedeva i BLOCCHI STRADALI dei migranti ....

5 mamme MORTE DA NON VACCINATE ...

MARIA non ha conosciuto sua nonna ..

Che fai ... Chi non è collegato al green pass e muore ... Un voto perso e basta ? https://t.co/iJ4Gxw0MVA"
39,['1601236386337939460'],1601236386337939460,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni parlaci dei decessi causati da GINECOLOGI che hanno sconsigliato il vaccino.

Sharon era già morta.

Parlaci dei COVID PARTY AMERICANI e delle infezioni di MASSA BRASILIANE....

@myrtamerlino non ti azzardare più di fare parlare DIPLOMATE senza che dicano LE FONTI https://t.co/bgVQ7s1CrA"
40,['1601236067348533249'],1601236067348533249,@ParfemR @GiorgiaMeloni @crocerossa Aspetta che il governo faccia le leggi tipo Spagna ed il problema e' risolto.
41,['1601235328110821379'],1601235328110821379,@GiorgiaMeloni @crocerossa Te quando ci lasci invece? 🤡🤡
42,['1601235068504006657'],1601235068504006657,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni Tachipirina e vigile attesa? Ora ti hanno mollata , mi sa ...
Mi stanno arrivando talmente tante notifiche che .... Secondo me ti vogliono fare cadere .... 

@edmondocirielli che ha firmato MARESCOTTI ? @GiorgiaMeloni parlaci della LISTA PASSARINI... https://t.co/HQk5gbCofi"
43,['1601234621001523201'],1601234621001523201,"@GiorgiaMeloni @crocerossa #dimezza lo stipendio, invece ti toccare soldi che i ragazzi potrebbero investire in cultura.
Effettua modifiche affinché venga  speso per migliorare il proprio bagaglio culturale.I soldi ricavati dal taglio di ogni politico verranno investiti in aiuti per  imprese, famiglie ecc"
44,['1601234615158857729'],1601234615158857729,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni 

Parlaci delle CAVIE VOLONTARIE che si sono fatte ILLUDERE da un ABBIAMO CURATO 60 MILA PERSONE...

Anche in Brasile hanno curato ... O almeno ... Manipolavano le cartelle cliniche, ma sono stati scoperti ...

Il REGIME BOLSONARIANO È CADUTO e ora ...NORIMBERGA ? https://t.co/vsc0fLa7vT"
45,['1601233658509029376'],1601233658509029376,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni che aveva Montagnier di più rispetto ai 1889 PAOLO PICCO ? 

1124 EMIDDIO IOVANE?

L'HIV SI TRASMETTE CON UN BACIO PROFONDO.

IL MORBO DI PARKINSON SI CURA CON LA PAPAYA FERMENTATA...

I NON VACCINATI SALVERANNO L'UMANITÀ. 

@ItalexitLodi ...Invitarlo dal 2020 no ? https://t.co/2GZJ0mawYh"
46,['1601232586919247872'],1601232586919247872,@GiorgiaMeloni @crocerossa May her soul rest in Peace.
47,['1601232297738788864'],1601232297738788864,"@GiorgiaMeloni @crocerossa @GiorgiaMeloni un anno fa ci lasciavano Andrea Bellinzona, (NEGAZIONISTA), Gallerani Mauro, che aveva firmato per @ippocrateorg  e altri 3 NON VACCINATI DI TRIESTE . 

@GiorgiaMeloni vogliamo una giornata per ricordare le VITTIME DELLA DESTRA BOLSONARIANA e NON SOLO https://t.co/tztvMjvtmN"
48,['1601230850938765314'],1601230850938765314,"@GiorgiaMeloni @crocerossa Expel the terrorists affiliated with the mullahs' regime from your countries
@EUCouncil 
@EU_Commission 
@Europarl_EN 
@GermanyDiplo 
#iran
#MohsenShekari 
@dwnews 
@AP 
@UNHumanRights 
@UN 
@JapanGov"
49,['1601229143244705792'],1601229143244705792,"@GiorgiaMeloni @crocerossa Ha hecho usted bien en no ir a la Alicante, todo lo que trae @sanchezcastejon no es  bueno!! No se fíe usted de él señora, es un mentiroso y un traídor!!"
50,['1601227847745830912'],1601227847745830912,@Luca94003551 @RosarioSorbell7 @GiorgiaMeloni @crocerossa Intanto le ong continuano a fare quello che vogliono e lei ha mentito con le@sue promesse da Marinaia
51,['1601227528907079680'],1601227528907079680,@ParfemR @GiorgiaMeloni @crocerossa Io non le ho creduto e non l’ho votata
52,['1601227434807857153'],1601227434807857153,"@GiorgiaMeloni @crocerossa Io non avendoti votato per fortuna non sono deluso ma tu, con le tue promesse si blocco dell’immigrazione hai tradito i milioni che ti hanno creduto… Salvini fece i decreti sicurezza tu che fai? Niente"
53,['1601225741152067584'],1601225741152067584,"@GiorgiaMeloni @crocerossa Signora Presidente del governo, con la presente le chiediamo di opporsi ai crimini della repubblica islamica contro il popolo iraniano!  Stanno pianificando esecuzioni di massa nelle carceri!  Non puoi tacere contro questo crimine sconsiderato!"
54,['1601225367313711104'],1601225367313711104,"@GiorgiaMeloni @crocerossa Non esistono missioni di pace, quindi non confondere le schifezze americane con la croce rossa!"
55,['1601225253203881985'],1601225253203881985,@MarialetiziaQu3 @RosarioSorbell7 @GiorgiaMeloni @crocerossa A chi è rivolto il tuo commento?
56,['1601224970851717120'],1601224970851717120,"@KVindsvalr @RosarioSorbell7 @GiorgiaMeloni @crocerossa Caspita, dove ho sbagliato prof. ? 🤔"
57,['1601224679276285953'],1601224679276285953,"@ParfemR @GiorgiaMeloni @crocerossa Non hai mai votato Meloni, hai sempre sostenuto la Sinsitra tua insaputa"
58,['1601224371057569793'],1601224371057569793,@GiorgiaMeloni @crocerossa Thank you for your selfless kindness
59,['1601223951950426118'],1601223951950426118,"@GiorgiaMeloni @crocerossa E comunque, caro Giorgio, leggendo i commenti ai tuoi post, la maggior parte ora son di critiche e insulti. L'aria è già cambiata. Riuscirai a tenere on piedi questo rivoltante baraccone almeno per un anno?😂😂😂😂"
60,['1601223664141479937'],1601223664141479937,@Luca94003551 @RosarioSorbell7 @GiorgiaMeloni @crocerossa T'è morta la maestra delle elementari?
61,['1601223414509105152'],1601223414509105152,"@GiorgiaMeloni @crocerossa Il governo del signor Giorgio fa cagare ed è un accozzaglia di incompetenti e https://t.co/k5vMBg7qkI la maggioranza di chi vota ha pigne marce nel cervello, e loro possono continuare a parassitare lo stesso..."
62,['1601222965424979968'],1601222965424979968,@GiorgiaMeloni @crocerossa Dovresti fare almeno 3 tweet al giorno per quelli che muoiono sul posto di lavoro.
63,['1601222460971487233'],1601222460971487233,@Simona_Manzini @GiorgiaMeloni @crocerossa Bravissima
64,['1601222010583257090'],1601222010583257090,@Luca94003551 @RosarioSorbell7 @GiorgiaMeloni @crocerossa Una ripassata di italiano e istruzione civica per tutti e due non vi fa male.
65,['1601221291205611520'],1601221291205611520,@ParfemR @GiorgiaMeloni @crocerossa Fa buffo che ci avessi creduto anche prima 🤣🤣🤣🤣🤣
66,['1601219219471073280'],1601219219471073280,"@GiorgiaMeloni @crocerossa #EU #Europe #UNHCR #Norge #Sverige #France #Italy #OSCE #USA #UN @antonioguterres #church @EU_Commission #EUCO  @vonderleyen #Brexit #dkpol @GiorgiaMeloni
https://t.co/rSpWp5EBM8"
67,['1601217477500813312'],1601217477500813312,@GiorgiaMeloni @crocerossa INCAPACI!!! Stanno sbarcando cani e porci! Ma come anche voi appecoronati a francesi e tedeschi?!? Alllora tanto vale tenersi 5 stelle e pd...
68,['1601217194947674113'],1601217194947674113,"@GiorgiaMeloni @crocerossa a @GiorgiaMeloni va bene ricordare una martire della pace, oltre che ricordare dovresti darle onore con azioni incisive, una legge severissima contro qualsiasi forma di discriminazione e violenza.
non vedremo più veronesi che picchiano marocchini in festa, donne strucidate..."
69,['1601217091251470336'],1601217091251470336,@GiorgiaMeloni @crocerossa 🙏❤️
70,['1601215564982419456'],1601215564982419456,"@GiorgiaMeloni @crocerossa I morti sono sempre da rispettare, dio benedica questa ragazza che non conosco. Ma per favore ridiamo sovranità pace serenità e benessere agli italiani. Basta a essere servi e sottomessi a poteri terribili che ammazzano anima e corpo dei nostri giovani in modi subdoli"
71,['1601214759075880960'],1601214759075880960,"@GiorgiaMeloni @crocerossa Poveri pensionati, presi per il culo..."
72,['1601214578347499526'],1601214578347499526,@GiorgiaMeloni @crocerossa Ancora aspettiamo il famoso blocco navale
73,['1601214355110256640'],1601214355110256640,"@ParfemR @GiorgiaMeloni @crocerossa Magari il blocco navale ce lo porta la befana, attendiamo."
74,['1601214274793529345'],1601214274793529345,"@GiorgiaMeloni @crocerossa Ma pensa ad oggi. Tanto nessun italiano ha mai imparato dalla storia e dai morti del passato.
Parliamo dei giovani che muoiono oggi come Marco Pannone che sta morendo perché stava lavorando ed è stato aggredito sul posto di lavoro.
Ma per favore"
75,['1601214004365791232'],1601214004365791232,"@GiorgiaMeloni @crocerossa Le missioni di Pace non si combattono con le armi, ma posso sempre sbagliare, ho solo 16 anni... Cosa stai facendo per bloccare le ong, e nel concreto parlare di pace inviando armi in ucraina ignorando ciò che gli ucraini continuano a fare in Donbass è giusto?"
76,['1601213629335949312'],1601213629335949312,@Lupo_ap @GiorgiaMeloni @crocerossa https://t.co/C1FDqeh0tA
77,['1601213557588127744'],1601213557588127744,@Lupo_ap @GiorgiaMeloni @crocerossa La mia è morta quando avevo 16 anni
78,['1601213428835962880'],1601213428835962880,@Lupo_ap @GiorgiaMeloni @crocerossa Vabbè parlare con gli ignoranti è inutile🤮
79,['1601212722922033154'],1601212722922033154,"@GiorgiaMeloni @crocerossa Forte signora, ti auguro successo"
80,['1601211395328339968'],1601211395328339968,@GiorgiaMeloni @crocerossa IL premier? Ma non è na donna? Stando al culo e alle braccia nun se direbbe…ma credo di sì
81,['1601210610104303617'],1601210610104303617,@GiorgiaMeloni @crocerossa BLOCCO NAVALE Come hai promesso per anni?! O erano  tutte cazzate per prendere i voti?!
82,['1601210541527412736'],1601210541527412736,"@GiorgiaMeloni @crocerossa Ormai i tuoi tweet si limitano a ricorrenze e onoreficienze.

Nell'attesa dello schianto finale"
83,['1601209580234866689'],1601209580234866689,@PrTiagoDestro @GiorgiaMeloni @crocerossa No spacciare le lucciole per lanterne
84,['1601209357467013120'],1601209357467013120,"@GiorgiaMeloni @crocerossa Complimenti al nuovo Governo. Le Ong hanno vinto, continueranno a sbarcare clandestini. Cara Meloni io non ti voto più."
85,['1601209123449602050'],1601209123449602050,@GiorgiaMeloni @crocerossa Togliete il Bonus Cultura ai 18enni che se diventano troppo intelligenti poi non vi votano.
86,['1601209047365349377'],1601209047365349377,@nunrompeerca @GiorgiaMeloni @crocerossa Col uranio impoverito!
87,['1601209037437095941'],1601209037437095941,"@GiorgiaMeloni @crocerossa Ma sei ammalata o stai a lavorare?
Manchi agli impegni internazionali come una statale qualsiasi.
Datti una mossa e torna al lavoro"
88,['1601208334148767744'],1601208334148767744,@GiorgiaMeloni @crocerossa 💔
89,['1601207554671251456'],1601207554671251456,"@iucci_gabriella @GiorgiaMeloni @crocerossa Ripeto, Lei è una grandissima ipocrita oltre a tutto il resto. Lei è una di quelle che mette la bandiera arcobaleno al balcone poi nemmeno sa chi  abita nella porta accanto, tipico di quelli ""faccio quello che mi fa notare ma non quello che serve"" ma mi faccia il piacere!!!!!!"
90,['1601206637162659840'],1601206637162659840,@PrTiagoDestro @GiorgiaMeloni @crocerossa https://t.co/Jvq1JWUaRV
91,['1601206377216897025'],1601206377216897025,@GiorgiaMeloni @crocerossa Raccontaci ancora della difesa dei confini. Certo che ci vuole una bella faccia tosta. Si spera che almeno abbiate la decenza di tacere e di non usare più la parola Patria.
92,['1601206337836195841'],1601206337836195841,"@iucci_gabriella @GiorgiaMeloni @crocerossa Senta stronza, a casa ho mia madre di 90 anni, non l' ho portata al ricovero anche se non è più autosufficiente, lei cosa farà con la sua eh?? Invece di fare le belle eroine in Africa se  stava in Italia ad assistere chi ne aveva bisogno era ancora viva, però non era chic....."
93,['1601206149143232514'],1601206149143232514,@GiorgiaMeloni @crocerossa 🟢🟢APPROVATE L'EMENDAMENTO 13.0.22🟢🟢ESTENSIONE DELLE GM DEL CONCORSO STRAORDINARIO BIS A TUTTI I PARTECIPANTI E UTILIZZO DELLE GM AD ESAURIMENTO🟢🟢.
94,['1601206137688576000'],1601206137688576000,"@Simona_Manzini @GiorgiaMeloni @crocerossa Guarda che è vaccinata, che ca**o blateri."
95,['1601205743159775233'],1601205743159775233,@RosarioSorbell7 @GiorgiaMeloni @crocerossa Vatti a lamentare con chi ha governato un decennio senza mai passare per le urne.
96,['1601203764085796865'],1601203764085796865,@GiorgiaMeloni @crocerossa Concentrati agli Italiani vivi Giorgia e smettila di fare la politicante https://t.co/1WPEJfgzkr
97,['1601203257426481152'],1601203257426481152,@GiorgiaMeloni @crocerossa Miss who will resolve visa appointment issue in Italian Embassy Islamabad Pakistan? @LuigiVignali @Antonio_Tajani @ItalyMFA_int @EttoreSequi @AnacNazionale how to get transparently visa appointment from italian embassy Islamabad
98,['1601201174702878720'],1601201174702878720,@GiorgiaMeloni @crocerossa 🙏🌹
99,['1601200257261395971'],1601200257261395971,@GiorgiaMeloni @crocerossa Ricordati il caso di serena mollicone grazie
